
Allocate 100000 * 16 Bytes (Total 1562.5000 Kbytes)

Range of free(): from memoryBuffer[1] to memoryBuffer[55] (free-stap = 2)

Befor allocateMemory() inital program break = 0x64cfd1017000

function allocateMemory() calling.
Allocate for	Current program break
buffer[0]		0x64cfd1017000
buffer[1]		0x64cfd1017000
buffer[2]		0x64cfd1017000
buffer[3]		0x64cfd1017000
buffer[4]		0x64cfd1017000
buffer[5]		0x64cfd1017000
buffer[6]		0x64cfd1017000
buffer[7]		0x64cfd1017000
buffer[8]		0x64cfd1017000
buffer[9]		0x64cfd1017000
buffer[10]		0x64cfd1017000
buffer[11]		0x64cfd1017000
buffer[12]		0x64cfd1017000
buffer[13]		0x64cfd1017000
buffer[14]		0x64cfd1017000
buffer[15]		0x64cfd1017000
buffer[16]		0x64cfd1017000
buffer[17]		0x64cfd1017000
buffer[18]		0x64cfd1017000
buffer[19]		0x64cfd1017000
buffer[20]		0x64cfd1017000
buffer[21]		0x64cfd1017000
buffer[22]		0x64cfd1017000
buffer[23]		0x64cfd1017000
buffer[24]		0x64cfd1017000
buffer[25]		0x64cfd1017000
buffer[26]		0x64cfd1017000
buffer[27]		0x64cfd1017000
buffer[28]		0x64cfd1017000
buffer[29]		0x64cfd1017000
buffer[30]		0x64cfd1017000
buffer[31]		0x64cfd1017000
buffer[32]		0x64cfd1017000
buffer[33]		0x64cfd1017000
buffer[34]		0x64cfd1017000
buffer[35]		0x64cfd1017000
buffer[36]		0x64cfd1017000
buffer[37]		0x64cfd1017000
buffer[38]		0x64cfd1017000
buffer[39]		0x64cfd1017000
buffer[40]		0x64cfd1017000
buffer[41]		0x64cfd1017000
buffer[42]		0x64cfd1017000
buffer[43]		0x64cfd1017000
buffer[44]		0x64cfd1017000
buffer[45]		0x64cfd1017000
buffer[46]		0x64cfd1017000
buffer[47]		0x64cfd1017000
buffer[48]		0x64cfd1017000
buffer[49]		0x64cfd1017000
buffer[50]		0x64cfd1017000
buffer[51]		0x64cfd1017000
buffer[52]		0x64cfd1017000
buffer[53]		0x64cfd1017000
buffer[54]		0x64cfd1017000
buffer[55]		0x64cfd1017000
buffer[56]		0x64cfd1017000
buffer[57]		0x64cfd1017000
buffer[58]		0x64cfd1017000
buffer[59]		0x64cfd1017000
buffer[60]		0x64cfd1017000
buffer[61]		0x64cfd1017000
buffer[62]		0x64cfd1017000
buffer[63]		0x64cfd1017000
buffer[64]		0x64cfd1017000
buffer[65]		0x64cfd1017000
buffer[66]		0x64cfd1017000
buffer[67]		0x64cfd1017000
buffer[68]		0x64cfd1017000
buffer[69]		0x64cfd1017000
buffer[70]		0x64cfd1017000
buffer[71]		0x64cfd1017000
buffer[72]		0x64cfd1017000
buffer[73]		0x64cfd1017000
buffer[74]		0x64cfd1017000
buffer[75]		0x64cfd1017000
buffer[76]		0x64cfd1017000
buffer[77]		0x64cfd1017000
buffer[78]		0x64cfd1017000
buffer[79]		0x64cfd1017000
buffer[80]		0x64cfd1017000
buffer[81]		0x64cfd1017000
buffer[82]		0x64cfd1017000
buffer[83]		0x64cfd1017000
buffer[84]		0x64cfd1017000
buffer[85]		0x64cfd1017000
buffer[86]		0x64cfd1017000
buffer[87]		0x64cfd1017000
buffer[88]		0x64cfd1017000
buffer[89]		0x64cfd1017000
buffer[90]		0x64cfd1017000
buffer[91]		0x64cfd1017000
buffer[92]		0x64cfd1017000
buffer[93]		0x64cfd1017000
buffer[94]		0x64cfd1017000
buffer[95]		0x64cfd1017000
buffer[96]		0x64cfd1017000
buffer[97]		0x64cfd1017000
buffer[98]		0x64cfd1017000
buffer[99]		0x64cfd1017000
buffer[100]		0x64cfd1017000
buffer[101]		0x64cfd1017000
buffer[102]		0x64cfd1017000
buffer[103]		0x64cfd1017000
buffer[104]		0x64cfd1017000
buffer[105]		0x64cfd1017000
buffer[106]		0x64cfd1017000
buffer[107]		0x64cfd1017000
buffer[108]		0x64cfd1017000
buffer[109]		0x64cfd1017000
buffer[110]		0x64cfd1017000
buffer[111]		0x64cfd1017000
buffer[112]		0x64cfd1017000
buffer[113]		0x64cfd1017000
buffer[114]		0x64cfd1017000
buffer[115]		0x64cfd1017000
buffer[116]		0x64cfd1017000
buffer[117]		0x64cfd1017000
buffer[118]		0x64cfd1017000
buffer[119]		0x64cfd1017000
buffer[120]		0x64cfd1017000
buffer[121]		0x64cfd1017000
buffer[122]		0x64cfd1017000
buffer[123]		0x64cfd1017000
buffer[124]		0x64cfd1017000
buffer[125]		0x64cfd1017000
buffer[126]		0x64cfd1017000
buffer[127]		0x64cfd1017000
buffer[128]		0x64cfd1017000
buffer[129]		0x64cfd1017000
